molex_impact_85ohm_left_and_right_guided_240pin_0.39mm
pin,unit,name,type,side
1,1,A1,bidirectional,right
2,1,B1,bidirectional,right
3,1,C1,bidirectional,right
4,1,D1,bidirectional,right
5,1,E1,bidirectional,right
6,1,F1,bidirectional,right
7,1,G1,bidirectional,right
8,1,H1,bidirectional,right
9,1,J1,bidirectional,right
10,1,K1,bidirectional,right
11,1,L1,bidirectional,right
12,1,M1,bidirectional,right
13,2,A2,bidirectional,right
14,2,B2,bidirectional,right
15,2,C2,bidirectional,right
16,2,D2,bidirectional,right
17,2,E2,bidirectional,right
18,2,F2,bidirectional,right
19,2,G2,bidirectional,right
20,2,H2,bidirectional,right
21,2,J2,bidirectional,right
22,2,K2,bidirectional,right
23,2,L2,bidirectional,right
24,2,M2,bidirectional,right
25,3,A3,bidirectional,right
26,3,B3,bidirectional,right
27,3,C3,bidirectional,right
28,3,D3,bidirectional,right
29,3,E3,bidirectional,right
30,3,F3,bidirectional,right
31,3,G3,bidirectional,right
32,3,H3,bidirectional,right
33,3,J3,bidirectional,right
34,3,K3,bidirectional,right
35,3,L3,bidirectional,right
36,3,M3,bidirectional,right
37,4,A4,bidirectional,right
38,4,B4,bidirectional,right
39,4,C4,bidirectional,right
40,4,D4,bidirectional,right
41,4,E4,bidirectional,right
42,4,F4,bidirectional,right
43,4,G4,bidirectional,right
44,4,H4,bidirectional,right
45,4,J4,bidirectional,right
46,4,K4,bidirectional,right
47,4,L4,bidirectional,right
48,4,M4,bidirectional,right
49,5,A5,bidirectional,right
50,5,B5,bidirectional,right
51,5,C5,bidirectional,right
52,5,D5,bidirectional,right
53,5,E5,bidirectional,right
54,5,F5,bidirectional,right
55,5,G5,bidirectional,right
56,5,H5,bidirectional,right
57,5,J5,bidirectional,right
58,5,K5,bidirectional,right
59,5,L5,bidirectional,right
60,5,M5,bidirectional,right
61,6,A6,bidirectional,right
62,6,B6,bidirectional,right
63,6,C6,bidirectional,right
64,6,D6,bidirectional,right
65,6,E6,bidirectional,right
66,6,F6,bidirectional,right
67,6,G6,bidirectional,right
68,6,H6,bidirectional,right
69,6,J6,bidirectional,right
70,6,K6,bidirectional,right
71,6,L6,bidirectional,right
72,6,M6,bidirectional,right
73,7,A7,bidirectional,right
74,7,B7,bidirectional,right
75,7,C7,bidirectional,right
76,7,D7,bidirectional,right
77,7,E7,bidirectional,right
78,7,F7,bidirectional,right
79,7,G7,bidirectional,right
80,7,H7,bidirectional,right
81,7,J7,bidirectional,right
82,7,K7,bidirectional,right
83,7,L7,bidirectional,right
84,7,M7,bidirectional,right
85,8,A8,bidirectional,right
86,8,B8,bidirectional,right
87,8,C8,bidirectional,right
88,8,D8,bidirectional,right
89,8,E8,bidirectional,right
90,8,F8,bidirectional,right
91,8,G8,bidirectional,right
92,8,H8,bidirectional,right
93,8,J8,bidirectional,right
94,8,K8,bidirectional,right
95,8,L8,bidirectional,right
96,8,M8,bidirectional,right
97,9,A9,bidirectional,right
98,9,B9,bidirectional,right
99,9,C9,bidirectional,right
100,9,D9,bidirectional,right
101,9,E9,bidirectional,right
102,9,F9,bidirectional,right
103,9,G9,bidirectional,right
104,9,H9,bidirectional,right
105,9,J9,bidirectional,right
106,9,K9,bidirectional,right
107,9,L9,bidirectional,right
108,9,M9,bidirectional,right
109,10,A10,bidirectional,right
